codice;pro_com;nome;nome_lower;PARTITO DEMOCRATICO;+EUROPA;ITALIA EUROPA INSIEME;CIVICA POPOLARE LORENZIN;LEGA;FORZA ITALIA;FRATELLI D'ITALIA CON GIORGIA MELONI;NOI CON L'ITALIA - UDC;MOVIMENTO 5 STELLE;LIBERI E UGUALI;POTERE AL POPOLO!;CASAPOUND ITALIA;IL POPOLO DELLA FAMIGLIA;PARTITO VALORE UMANO;ITALIA AGLI ITALIANI;10 VOLTE MEGLIO;PER UNA SINISTRA RIVOLUZIONARIA;PARTITO REPUBBLICANO ITALIANO - ALA;GRANDE NORD;BLOCCO NAZIONALE PER LE LIBERTA';ITALIA NEL CUORE;SIAMO;LISTA DEL POPOLO PER LA COSTITUZIONE;PATTO PER L'AUTONOMIA;RINASCIMENTO MIR;PARTITO COMUNISTA;AUTODETERMINATZIONE;POUR TOUS PER TUTTI PE TCHEUT;PD-UV-UVP-EPAV;RISPOSTA CIVICA;FI -FRAT. D'IT. -MOV.NUOVA VALLE D'AOSTA;SVP - PATT;Total;CSIN;CSINPIU;CDES;PARTITO DEMOCRATICO 2013;FORZA ITALIA 2013;LEGA 2013;MOVIMENTO 5 STELLE 2013
14111050320;109032;PONZANO DI FERMO;Ponzano di Fermo;172;16;0;10;124;66;44;18;417;25;13;12;5;7;0;0;0;0;0;0;0;0;1;0;0;12;0;0;0;0;0;0;942;198;223;252;284;144;4;336
14111050360;109036;SANTA VITTORIA IN MATENANO;Santa Vittoria in Matenano;153;23;4;5;133;83;19;8;266;55;3;8;6;4;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;775;185;240;243;209;140;1;240
14111050390;109039;SMERILLO;Smerillo;49;1;2;6;54;27;3;2;43;9;4;6;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;211;58;67;86;73;58;1;54
14120030220;42022;LORETO;Loreto;1279;104;93;26;1335;728;421;123;2647;183;63;100;132;0;0;0;0;0;0;0;0;0;8;0;0;41;0;0;0;0;0;0;7283;1502;1685;2607;1797;1289;55;2851
14120440130;43013;CIVITANOVA MARCHE;Civitanova Marche;4171;430;100;51;4163;2587;1443;202;8082;535;168;230;206;0;0;0;0;0;0;0;0;0;19;0;0;152;0;0;0;0;0;0;22539;4752;5287;8395;5803;4960;110;8263
14120440280;43028;MONTECOSARO;Montecosaro;651;44;12;18;656;360;214;51;1747;84;36;37;49;0;0;0;0;0;0;0;0;0;6;0;0;28;0;0;0;0;0;0;3993;725;809;1281;860;729;18;1591
14120440300;43030;MONTELUPONE;Montelupone;289;14;6;4;439;198;166;61;623;51;11;21;27;0;0;0;0;0;0;0;0;0;1;0;0;10;0;0;0;0;0;0;1921;313;364;864;370;451;12;766
14120440310;43031;MONTE SAN GIUSTO;Monte San Giusto;609;50;4;14;1028;557;268;58;1307;72;12;39;25;0;0;0;0;0;0;0;0;0;1;0;0;30;0;0;0;0;0;0;4074;677;749;1911;829;1241;48;1320
14120440330;43033;MORROVALLE;Morrovalle;952;55;23;16;1172;642;314;56;1938;86;46;58;80;0;0;0;0;0;0;0;0;0;8;0;0;47;0;0;0;0;0;0;5493;1046;1132;2184;1142;1441;36;1994
14120440420;43042;PORTO RECANATI;Porto Recanati;1081;105;25;8;1057;477;276;523;1909;213;38;93;50;0;0;0;0;0;0;0;0;0;4;0;0;48;0;0;0;0;0;0;5907;1219;1432;2333;1591;1159;31;2040
