Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
2796363;15;01/05/2016 19:45;Strada Urbana;VIA MONTEMARZINO;all'intersezione con;VIA BELFORTE MONFERRATO;VIA BELFORTE MONFERRATO;;;Scontro frontale/laterale SX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Assente;Sereno;Scarso;Buona;Ore Diurne;0;0;0;2;12,3111;41,82466;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Utilizzato;
2796393;10;01/05/2016 02:10;Strada Urbana;NUOVA CIRCONVALLAZIONE INTERNA;da specificare;;;;150 mt. dall'uscita M.ti Tiburtini/Pietralata;Tamponamento Multiplo;Galleria illuminata;Una carreggiata a senso unico di marcia;Bagnato (umidità in atto);Asfaltata;Orizzontale;Pioggia in atto;Scarso;Buona;Sufficiente;0;0;0;5;12,53006;41,91545;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2796393;10;01/05/2016 02:10;Strada Urbana;NUOVA CIRCONVALLAZIONE INTERNA;da specificare;;;;150 mt. dall'uscita M.ti Tiburtini/Pietralata;Tamponamento Multiplo;Galleria illuminata;Una carreggiata a senso unico di marcia;Bagnato (umidità in atto);Asfaltata;Orizzontale;Pioggia in atto;Scarso;Buona;Sufficiente;0;0;0;5;12,53006;41,91545;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2796393;10;01/05/2016 02:10;Strada Urbana;NUOVA CIRCONVALLAZIONE INTERNA;da specificare;;;;150 mt. dall'uscita M.ti Tiburtini/Pietralata;Tamponamento Multiplo;Galleria illuminata;Una carreggiata a senso unico di marcia;Bagnato (umidità in atto);Asfaltata;Orizzontale;Pioggia in atto;Scarso;Buona;Sufficiente;0;0;0;5;12,53006;41,91545;-1;3;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Esploso
2796393;10;01/05/2016 02:10;Strada Urbana;NUOVA CIRCONVALLAZIONE INTERNA;da specificare;;;;150 mt. dall'uscita M.ti Tiburtini/Pietralata;Tamponamento Multiplo;Galleria illuminata;Una carreggiata a senso unico di marcia;Bagnato (umidità in atto);Asfaltata;Orizzontale;Pioggia in atto;Scarso;Buona;Sufficiente;0;0;0;5;12,53006;41,91545;-1;3;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesistente
2796393;10;01/05/2016 02:10;Strada Urbana;NUOVA CIRCONVALLAZIONE INTERNA;da specificare;;;;150 mt. dall'uscita M.ti Tiburtini/Pietralata;Tamponamento Multiplo;Galleria illuminata;Una carreggiata a senso unico di marcia;Bagnato (umidità in atto);Asfaltata;Orizzontale;Pioggia in atto;Scarso;Buona;Sufficiente;0;0;0;5;12,53006;41,91545;-1;3;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Esploso
2796395;10;01/05/2016 16:15;Strada Urbana;VIA DI CIAMPINO;da specificare;;;;uscita sottopasso APPIA NUOVA direz. CIAMPINO;Tamponamento;Curva senza visuale libera;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;3;12,57836;41,80924;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Esploso
2796395;10;01/05/2016 16:15;Strada Urbana;VIA DI CIAMPINO;da specificare;;;;uscita sottopasso APPIA NUOVA direz. CIAMPINO;Tamponamento;Curva senza visuale libera;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;3;12,57836;41,80924;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Esploso
2796395;10;01/05/2016 16:15;Strada Urbana;VIA DI CIAMPINO;da specificare;;;;uscita sottopasso APPIA NUOVA direz. CIAMPINO;Tamponamento;Curva senza visuale libera;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;3;12,57836;41,80924;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2796395;10;01/05/2016 16:15;Strada Urbana;VIA DI CIAMPINO;da specificare;;;;uscita sottopasso APPIA NUOVA direz. CIAMPINO;Tamponamento;Curva senza visuale libera;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;3;12,57836;41,80924;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Ricoverato;0;NON DECEDUTO;Non accertato;Inesploso
