Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
2658637;1;16/01/2016 11:25;Strada Urbana;VIA DI S. MARIA IN COSMEDIN;all'intersezione semaforizzata con;VIA DELLA GRECA;VIA DELLA GRECA;;;Scontro laterale fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;3;12,48063;41,88714;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;
2658637;1;16/01/2016 11:25;Strada Urbana;VIA DI S. MARIA IN COSMEDIN;all'intersezione semaforizzata con;VIA DELLA GRECA;VIA DELLA GRECA;;;Scontro laterale fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;3;12,48063;41,88714;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;;
2658650;7;18/01/2016 10:40;Strada Urbana;VIA DEI CASTANI;in prossimità;;del civico n.;225;;Investimento di pedone;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;12,56594;41,88675;-1;;;;Pedone;F;Rimandato;0;NON DECEDUTO;;
2658650;7;18/01/2016 10:40;Strada Urbana;VIA DEI CASTANI;in prossimità;;del civico n.;225;;Investimento di pedone;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;1;0;0;1;12,56594;41,88675;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2658660;4;16/01/2016 20:30;Strada Urbana;VIA GIOVANNI CONTI;da specificare;;;;altezza Via delle Vigne Nuove;Scontro laterale fra veicoli in marcia;Curva a visuale libera;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Buona;Sufficiente;0;0;0;2;12,53109;41,95456;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;
2658660;4;16/01/2016 20:30;Strada Urbana;VIA GIOVANNI CONTI;da specificare;;;;altezza Via delle Vigne Nuove;Scontro laterale fra veicoli in marcia;Curva a visuale libera;Due carreggiate;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Buona;Sufficiente;0;0;0;2;12,53109;41,95456;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
2658673;1;16/01/2016 21:10;Strada Urbana;VIALE MARCO POLO;all'intersezione semaforizzata con;VIA ALVISE CADAMOSTO;VIA ALVISE CADAMOSTO;;;Scontro frontale/laterale SX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Sufficiente;Sufficiente;0;0;0;4;12,48929;41,87284;-1;1;Quadriciclo leggero;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;
2658673;1;16/01/2016 21:10;Strada Urbana;VIALE MARCO POLO;all'intersezione semaforizzata con;VIA ALVISE CADAMOSTO;VIA ALVISE CADAMOSTO;;;Scontro frontale/laterale SX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Sufficiente;Sufficiente;0;0;0;4;12,48929;41,87284;-1;1;Quadriciclo leggero;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;
2658673;1;16/01/2016 21:10;Strada Urbana;VIALE MARCO POLO;all'intersezione semaforizzata con;VIA ALVISE CADAMOSTO;VIA ALVISE CADAMOSTO;;;Scontro frontale/laterale SX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Sufficiente;Sufficiente;0;0;0;4;12,48929;41,87284;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
2658673;1;16/01/2016 21:10;Strada Urbana;VIALE MARCO POLO;all'intersezione semaforizzata con;VIA ALVISE CADAMOSTO;VIA ALVISE CADAMOSTO;;;Scontro frontale/laterale SX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Sufficiente;Sufficiente;0;0;0;4;12,48929;41,87284;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;
