Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
3707810;12;01/03/2018 16:40;Strada Urbana;VIA CRISTOFORO COLOMBO;da specificare;;;;dir. Roma centro altezza civ. 97 di via Algeria;Scontro laterale fra veicoli in marcia;Pendenza;Due carreggiate;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;3;12,4646;41,82119;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesploso
3707856;18;01/03/2018 06:15;Strada Urbana;VIA DI BOCCEA;in corrispondenza;;del civico n.;812;;Veicolo in marcia contro ostacolo accidentale;Rettilineo;Una carreggiata a doppio senso;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;1;12,36136;41,92577;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
3707877;6;01/03/2018 16:20;Strada Urbana;VIA DI PORTA FURBA;in prossimità;;del civico n.;54;;Scontro frontale/laterale SX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Bagnato (umidità in atto);Asfaltata;Orizzontale;Nuvoloso;Intenso;Buona;Ore Diurne;0;0;0;2;12,54119;41,87391;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
3707877;6;01/03/2018 16:20;Strada Urbana;VIA DI PORTA FURBA;in prossimità;;del civico n.;54;;Scontro frontale/laterale SX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Bagnato (umidità in atto);Asfaltata;Orizzontale;Nuvoloso;Intenso;Buona;Ore Diurne;0;0;0;2;12,54119;41,87391;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;;Inesploso
3707892;6;01/03/2018 16:45;Statale entro l'abitato;VIA CASILINA;all'intersezione semaforizzata con;PIAZZA DEL PIGNETO;PIAZZA DEL PIGNETO;;;Scontro laterale fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a senso unico alternato;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Intenso;Buona;Ore Diurne;0;0;0;5;12,52288;41,88899;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;;Inesploso
3707892;6;01/03/2018 16:45;Statale entro l'abitato;VIA CASILINA;all'intersezione semaforizzata con;PIAZZA DEL PIGNETO;PIAZZA DEL PIGNETO;;;Scontro laterale fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a senso unico alternato;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Intenso;Buona;Ore Diurne;0;0;0;5;12,52288;41,88899;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;;
3707892;6;01/03/2018 16:45;Statale entro l'abitato;VIA CASILINA;all'intersezione semaforizzata con;PIAZZA DEL PIGNETO;PIAZZA DEL PIGNETO;;;Scontro laterale fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a senso unico alternato;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Intenso;Buona;Ore Diurne;0;0;0;5;12,52288;41,88899;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;;
3707892;6;01/03/2018 16:45;Statale entro l'abitato;VIA CASILINA;all'intersezione semaforizzata con;PIAZZA DEL PIGNETO;PIAZZA DEL PIGNETO;;;Scontro laterale fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a senso unico alternato;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Intenso;Buona;Ore Diurne;0;0;0;5;12,52288;41,88899;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;Inesploso
3707892;6;01/03/2018 16:45;Statale entro l'abitato;VIA CASILINA;all'intersezione semaforizzata con;PIAZZA DEL PIGNETO;PIAZZA DEL PIGNETO;;;Scontro laterale fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a senso unico alternato;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Intenso;Buona;Ore Diurne;0;0;0;5;12,52288;41,88899;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;;
3707934;11;01/03/2018 18:10;Strada Urbana;VIA DI FIORANELLO;in corrispondenza;;del civico n.;175 B;;Veicolo in marcia contro ostacolo accidentale;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Orizzontale;Nuvoloso;Normale;Insufficiente;Inesistente;0;0;0;1;12,5417;41,79195;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
