COUNTRY_ISO3;Country;Sex;Age;15 to 19;15 to 24;15 to 64;20 to 24;25 to 29;25 to 34;25 to 39;25 to 54;25 to 64;30 to 34;35 to 39;35 to 44;40 to 44;40 to 49;45 to 49;45 to 54;50 to 54;55 to 59;55 to 64;60 to 64;65 to 69;65+;70 to 74;70+;75+;Total;75 to 79+;80+;Total
HUN;Hungary;Women;15 to 19;5.29020293203078;28.2498847826053;63.4710504327599;47.3724823747228;70.8756987148136;70.4476119087008;0;79.819957915583;70.1571749478587;70.0285294212342;77.0349012920557;81.5823934067624;85.9828396442347;0;87.3734926264427;86.347605248421;85.1456190735016;67.3574012562261;43.4710102482645;23.2543467305482;4.19430675883141;2.94293883658661;1.40086212882234;0;0;1259.9771912908639;0;0;1259.9771912908639
ISL;Iceland;Women;15 to 19;81.5384625042901;82.9641347975889;86.1651182683044;84.110369844601;85.7536759630336;85.0445369092976;0;88.8177408571017;86.8929111268847;84.3062179498119;90.1924855270524;89.8470090332181;89.4934303700878;0;91.9801941680835;91.5759578641256;91.2058049245953;82.0116030930683;80.526855175114;78.8248271353052;45.1268357534836;29.3543540211782;9.09090871913522;0;0;1794.0695629611741;0;0;1794.0695629611741
IRL;Ireland;Women;15 to 19;19.501778748536;38.8047805345391;64.1231418645214;63.3484162895928;79.1753972403239;77.7913369110337;0;73.6759214923727;69.1301610176146;76.7190085686322;75.2317212550771;74.5912650444364;73.8960353161231;0;69.7916659849142;68.3073984994926;66.7106123823919;60.995539510966;50.9076540407518;39.4781135442685;12.5478923599233;5.16263781241072;5.17879147754282;0;0;1272.0169332016872;0;0;1272.0169332016872
ITA;Italy;Women;15 to 19;5.29195015866364;22.7531383082896;55.1943938916918;39.2668943768846;60.9253106090948;64.076279755419;0;66.7738087025292;60.7626882919896;66.9604548397437;70.148435185203;70.2089111709219;70.2601747867831;0;67.6799312691393;65.5295479850144;63.3229172752507;53.2096126321868;41.7181035012232;28.8653354765592;5.39488533519429;1.87179707347178;1.50921714297837;0;0;1063.3516865396184;0.701212821295918;0.0356449832506751;1063.3516865396184
JPN;Japan;Women;15 to 19;17.1821305841924;44.949494949495;68.1493248610008;71.6171617161716;81.7307692307692;77.1771771771772;0;76.276150627615;72.4787935909519;73.1638418079096;72;74.0318906605922;75.7322175732218;0;78.4922394678492;77.8959810874704;77.2151898734177;70.8994708994709;61.0340479192938;52.0481927710843;33.8403041825095;15.9672466734903;19.0954773869347;0;5.63106796116505;1397.3235784350404;0;0;1397.3235784350404
KOR;Korea;Women;15 to 19;9.63268610767554;34.4271201989078;58.3763648580784;56.6212546995038;74.9653101724669;68.3050649172887;0;66.0304472390404;63.3747208094046;62.3171138886095;57.9977115072323;61.4278467784459;64.6892925982339;0;70.0249016671795;68.5358748500985;67.0088168935104;58.9103447686203;54.6555458641221;48.9949414179916;35.7783215747389;23.6566921355869;25.9280855384582;0;13.8271742342701;1249.6671896544588;0;0;1249.6671896544588
LUX;Luxembourg;Women;15 to 19;0;28.2077227179359;64.7000611708016;44.8719831944818;84.063269824441;85.4855645616706;0;81.050968544651;71.4961808954758;86.7940865715417;82.146679248157;81.2844281467732;80.3937449063695;0;78.8083263016346;73.9286939262892;68.9476620719579;49.7039606356377;32.9122094611822;3.82816689573431;0;0;0;0;0;1205.8217839214196;0;0;1205.8217839214196
MEX;Mexico;Women;15 to 19;19.358977948011;31.1832183952085;46.9839517144494;43.7138737914562;54.438819456649;55.0450683442075;0;55.4849624736904;52.4230747423583;55.6730581975517;56.7365042214607;57.168165780933;57.6091101422888;0;56.9627058980822;53.9833372656628;50.7142334722206;42.3713730885211;37.5266932739691;31.4659902535708;23.2377478768743;14.9628184424448;15.83390407472;0;7.47040459473097;1007.1535015650805;0;0;1007.1535015650805
NLD;Netherlands;Women;15 to 19;62.974169327359;69.1982257894213;74.9625971062109;75.1199809747018;85.5235895876484;84.2699855062137;83.5446306275923;82.1632097690595;76.2750584208766;82.9461974868348;82.0497499532368;82.0339302774569;82.0193896026776;82.3882861291465;82.7059357239938;80.5478809882405;78.3792373812614;68.9613911729864;58.5444747705451;46.9863561229162;7.65197058812983;3.26505258210593;2.68954912504545;0;0.382598838171993;1652.935392084487;0;0;1652.935392084487
NZL;New Zealand;Women;15 to 19;45.7901565093265;60.0124579391301;74.9278052686113;73.1853631230302;76.5894203328483;76.5052763585994;0;80.4698963047323;78.798899596736;76.413259258635;77.2256761965829;80.5362487798903;83.5877879429162;0;85.1628416696354;84.2904840564435;83.404771305516;78.5009810681172;73.1853399276966;67.0463189053968;35.8714047001783;18.1999997624329;17.4712643712416;0;4.21270702767331;1560.4351546619564;0;0;1560.4351546619564
