COUNTRY_ISO3;Country;Sex;Age;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;Total
ESP;Spain;All persons;Total;53.8325116057148;52.9971385148774;54.6050588259006;55.8350218361555;56.7115117493251;57.7936144351688;58.6384348435978;59.2763263202218;60.0820577900653;60.1806894511668;60.2800672556159;60.3312877358377;60.3986036010683;60.0179973504871;59.5997197970184;59.5415088724419;59.2312518239889;989.3528018086522
SWE;Sweden;All persons;Total;70.9026465028355;71.2829360100376;71.2852909062549;71.0696447960292;70.7953827423059;72.0244197255076;72.0784040474423;71.151938123509;71.2328946335592;70.5795661557175;70.4753902244503;70.9178047332259;71.1241672054648;71.4766779954045;71.9391010462692;71.9664923164705;72.0577384498189;1212.3604956143029
CHE;Switzerland;All persons;Total;67.3596342719661;67.8007938505131;67.7203185682038;67.8455002045197;67.2737089254569;66.976128610617;67.3511600427078;67.621772602102;68.187015307804;68.2329643508091;66.9989589628804;67.4554719689238;67.5234814191409;67.5366849942641;67.9091929103863;68.1475044866361;68.5686143081853;1150.5089057851164
TUR;Turkey;All persons;Total;49.9480631897858;49.8218678429044;49.5774354704413;48.3305731051545;46.3077084866968;46.4328549567807;46.2602188148208;46.2384733862741;46.8859562733898;47.8814379135549;48.7999390928644;49.8675224838601;49.9597982603611;50.8362106171774;50.5080105989085;51.2998236941266;51.9950273326408;830.9509215197421
GBR;United Kingdom;All persons;Total;62.6471357572587;62.329672234137;62.7276863862142;62.8196645084038;62.7922871276751;62.8660789720279;63.4360178046521;63.1926284607712;63.4353074961386;63.1960149300011;62.9257343324264;62.9662204515401;63.0764185379811;63.0967306627777;63.2451108548228;63.0831477287664;63.4853716358798;1071.321227881474
USA;United States;All persons;Total;67.0740484624395;66.8241179396819;66.5822493910006;66.2433139968622;65.9919680872497;66.0447711681108;66.1795169875969;66.0384356616696;65.9935497117046;65.3703758677868;64.7039284197602;64.108021484106;63.7001870234499;63.2483850878586;62.8856166842108;62.6516640683251;62.787826676869;1106.4279767186822
OECD;OECD countries;All persons;Total;61.7127583984864;61.5395615786132;60.1139434250085;59.990781714388;60.0107771796152;60.2008698262397;60.3994840689773;60.4263774431914;60.533122748277;60.3346676375532;60.15556626766;60.0694254043859;60.0920805822013;60.0430020450748;59.9501638320922;59.9346271903932;60.1599665313305;1025.6671758734878
ISR;Israel;All persons;Total;61.6889062094458;61.7654323508271;61.0484097169758;61.4217922737464;61.9185582318746;62.2378973270558;62.5594596227939;63.014546132186;62.949013691997;63.1951012198496;63.4182855066195;63.0886415482757;63.5818673461668;63.6787060372242;64.2054771594833;64.0941182788341;64.1378006595385;1068.0040133128941
BRA;Brazil;All persons;Total;0;67.0057565444471;67.8194858421006;67.8084629868279;68.5577944350436;69.3412490638729;69.0241478866794;68.5860055672291;68.5685802127637;68.5849070605986;0;66.165990092072;65.8957029370728;65.4658384902783;66.4861112320992;64.7957188383911;0;944.1057511894762
CHL;Chile;All persons;Total;55.9639557182436;55.0313537095897;54.5266382888677;55.058087450148;55.4545746908838;55.7597380616499;56.8809465097549;57.2969734413404;58.5853378402711;58.4914550544332;58.468858049303;59.8043437684215;59.7439290040692;59.5558121414576;59.8030828374252;59.6711487161449;59.4721831607041;979.5684184427078
