COUNTRY_ISO3;Country;Sex;Age;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;Total
HUN;Hungary;Women;Total;45.5397896038307;45.3814763929541;45.7710579472323;46.9076104924419;47.0075740863768;47.8068116083972;48.2080405168326;47.7841327871083;47.5564757787576;47.7334663149431;48.8254912663774;49.0936532470275;50.2449739309357;50.5022829517447;52.1010330344766;53.19785647593;54.0884403049288;827.7501667402954
ISL;Iceland;Women;Total;77.4017016355526;77.3193461323012;76.7424709293515;78.3401737430111;76.2997172668458;77.7515172151341;78.5083415112856;78.6288749083918;77.7309128746354;77.0547099958865;77.5851127312124;77.0100875574793;77.7492480079423;78.5391372324371;78.1673187945924;79.2824941254492;79.6230644779065;1323.7342291394148
IRL;Ireland;Women;Total;47.7613918701179;48.1780852985743;48.9616507817475;49.2865180763821;49.7753430999311;51.8946928605407;53.1032848545096;54.6768314715287;54.5177200766682;54.0092254137193;53.4056063916962;53.1644877091712;52.7932653002955;53.4001312026546;52.617216197322;52.7845560895973;53.4738316531111;883.8038383475674
ITA;Italy;Women;Total;35.7807168072731;36.3820209313568;36.7855742845943;37.0995269030504;38.5357339284957;38.0666165402814;38.19259316061;37.9421931497787;38.6670690265487;38.2306772119699;38.1689254401254;38.3987635243153;39.7127453246835;39.6779812808864;40.1171719330901;39.7736088884636;40.44552048342;651.9774388189433
JPN;Japan;Women;Total;49.2924950743328;49.1981468282252;48.5176637670868;48.2752520785424;48.255199154036;48.3638282899367;48.4454593360267;48.4827223294159;48.3531885073581;48.4758234057463;48.4678690246892;48.2764943160983;48.1797596237589;48.8846287905193;49.2414995640802;49.5552066980638;50.3577037166289;828.6229405045453
KOR;Korea;Women;Total;48.7617741295985;49.3127439334804;49.8169690921982;48.9994588857208;49.9337802948709;50.0952603528952;50.2462311557789;50.2514063822373;50.0221948212084;49.1608937457313;49.450337512054;49.6560403884384;49.916720774638;50.2161583988229;51.337400757675;51.7870078062491;52.0907784674973;851.0551568990948
LUX;Luxembourg;Women;Total;41.3712623007318;42.3846477834654;43.5102577870592;43.6568574501658;45.4091410035664;46.3495057858332;49.3891453774973;50.3722847114408;48.056909835087;49.8932749183613;49.780957711025;50.2508741725084;51.8879545162841;52.4911520008178;53.4409677596423;54.5598841982093;53.5990374233424;826.4041147350374
MEX;Mexico;Women;Total;38.8696005486892;38.0276673135476;38.639917114614;38.127355405856;40.4171131816591;40.9050429711537;42.1023548014608;42.446406443941;42.2840664866569;42.7730789786781;42.5266502669591;42.8520605669818;43.8561652599778;43.8841561293234;43.0530768181122;43.3543416237156;43.4027540580097;707.521807969336
NLD;Netherlands;Women;Total;53.7211821135696;53.8402457757296;54.9740616417455;54.5440752541344;55.0724637681159;55.7758750187772;56.2883206221026;57.555456304898;58.4134971141039;58.8789171693394;58.9259584430787;58.9426157879406;59.4948457782817;59.3965737156568;58.5957245741657;58.7990779907913;58.6759721163272;971.8948631887581
NZL;New Zealand;Women;Total;57.3973869520525;58.2451325250894;58.9830738680505;59.2938675969072;59.7833452125901;60.7813443991712;61.2901304306091;61.7489563657335;62.0651479152756;62.1224357144399;61.9809753104772;62.4830621880886;62.5924680663923;62.9078795632504;63.7103825016868;63.6909542218284;64.523397128293;1043.5999399599357
NOR;Norway;Women;Total;68.8720856962823;69.1776522284997;69.6818465377417;68.9975247524752;68.8383527965581;68.655788457065;68.3381854910582;69.4552072325936;70.7142030327584;69.7901220485913;68.7233325847743;68.7012771603914;68.5563361106573;68.4103103474356;68.2591863032378;68.2921713893625;67.7241807325644;1171.1877629020469
POL;Poland;Women;Total;49.7252747252747;49.5415685788626;48.620405451951;47.9728478864548;47.7528020919012;47.6828641999462;46.5984489706473;46.2635135954961;46.609923062943;47.2712442980999;47.5877886254455;47.7524196143469;48.1427688504326;48.1590201203332;48.497489740185;48.4289340380865;48.3303738700091;814.9376877204155
