COUNTRY_ISO3;Country;Sex;Age;15 to 19;15 to 24;15 to 64;20 to 24;25 to 29;25 to 34;25 to 39;25 to 54;25 to 64;30 to 34;35 to 39;35 to 44;40 to 44;40 to 49;45 to 49;45 to 54;50 to 54;55 to 59;55 to 64;60 to 64;65 to 69;65+;70 to 74;70+;75+;Total;75 to 79+;80+;Total
ITA;Italy;Men;15 to 19;21.9444695028902;44.5532218847178;74.3006954121152;63.6186344021041;81.0570085670601;87.547978647781;0;90.6143223091042;80.7783955021088;93.5967533541763;95.7780814963954;95.8803496495808;95.9964930160062;0;94.2191914678872;88.385514866883;82.6175598320048;53.8734964037136;42.7496503676148;31.3836118281731;10.6141633855635;5.83229953571561;4.48766618742226;0;2.50666894653933;1466.7147544195282;0;0;1466.7147544195282
JPN;Japan;Men;15 to 19;18.3937823834197;47.4065138721351;85.2474108170311;72.686230248307;95.8498023715415;96.7334035827186;0;97.1270718232044;94.1695108077361;97.7426636568849;97.7886977886978;97.747183979975;97.7040816326531;0;97.3392461197339;97.0010341261634;96.7054263565892;94.1724941724942;84.1448189762796;72.5806451612903;0;34.1034103410341;0;0;0;1727.4412965087151;0;0;1727.4412965087151
KOR;Korea;Men;15 to 19;11.5623208048793;28.4374807229659;77.0893309579144;52.8891910265126;84.3377941855099;89.8885258059283;0;92.1945224404116;89.2422666512578;95.4886167884911;95.7566201363446;95.1584338502776;94.5205479452055;0;92.8109469671182;91.2773172569706;89.37642393047;77.952274117887;71.2804279008842;63.5979333020197;53.6773328865807;40.6475926780495;35.2699530516432;0;24.248275862069;1695.4745251739446;0;0;1695.4745251739446
LUX;Luxembourg;Men;15 to 19;12.4905013803692;37.376821201923;76.4191934531088;61.4924658392822;88.8748567467728;93.760549259738;0;94.173412416293;84.378822480015;97.8933174519099;96.9386159815726;96.8328349329306;96.7161942973587;0;95.3943427760727;91.3995063704356;86.9614753260621;57.9848624157667;38.6229589495761;16.5447099699588;4.31084730559084;2.26179933181198;1.53267391235931;0;0;1464.5203165932564;0;0;1464.5203165932564
MEX;Mexico;Men;15 to 19;55.4589354546184;67.6773652297579;84.7119371392611;83.1382288700512;94.1877149594664;95.4393250010847;0;95.1546305428646;93.0706639492126;96.821830801576;96.9160290705622;96.4670939537487;95.9516418925566;0;94.5656779458132;92.6833653673178;90.4240102181201;85.9199230207962;79.3302750810818;71.8481323134897;63.4452411698043;48.456093495343;49.1281264292823;0;32.3542535123758;1926.7206382250247;0;0;1926.7206382250247
NLD;Netherlands;Men;15 to 19;60.2972399150743;71.6386554621849;83.2136940916621;82.7442827442828;93.9130434782609;94.6859903381642;94.869109947644;93.1867535287731;85.6728408837313;95.352323838081;95.2095808383234;94.5440374123149;93.8211382113821;93.0918281381634;92.3076923076923;90.0776531492666;87.9045996592845;70.4805491990846;50.9410288582183;27.2222222222222;9.62199312714777;5.50351288056206;5.92885375494071;0;1.29032258064516;1818.834677440337;0;0;1818.834677440337
NZL;New Zealand;Men;15 to 19;53.5791741089579;65.8184580666402;83.1223634820626;79.3600021362305;90.5394815495414;90.9125056837271;0;91.128832112025;87.8237548676065;91.2572295958339;91.2374601714986;91.1653507643714;91.0891106170529;0;91.7981024889996;91.3202927918482;90.8094473294835;81.8082776019102;71.8918932092798;59.7054922093359;22.9559751029968;11.7585304223164;9.69479357522806;0;3.37078679527483;1689.283446495019;0;0;1689.283446495019
NOR;Norway;Men;15 to 19;52.2935779816514;67.4698795180723;84.7840986977382;79.2857142857143;88.5542168674699;90.9883720930232;0;91.422805247225;88.3471074380165;93.2584269662921;92.9411764705882;92.4924924924925;92.0245398773006;0;91.6666666666666;90.7643312101911;89.873417721519;84.8;74.4292237442922;60.6382978723404;22.7848101265823;14.1935483870968;5.26315789473684;0;0;1704.2857748179931;0;0;1704.2857748179931
POL;Poland;Men;15 to 19;12.8116343490305;40.895008605852;71.735368156073;68.6516084873374;93.0742049469964;94.0106141015921;0;88.3055756698045;80.870806566738;95.0940310711366;93.9984411535464;92.1015514809591;90.5344494526722;0;84.4054580896686;79.1251778093883;72.7415553809898;51.4018691588785;40.3681788297173;29.6632124352332;0;12.3595505617978;0;0;0;1420.3973875905886;0;0;1420.3973875905886
PRT;Portugal;Men;15 to 19;28.3220714746227;50.4690186264469;78.8877804624819;70.0522789192599;90.764250690539;92.5334708248149;0;92.4663631102875;86.9971720854916;94.4281542105023;93.7717206268723;93.8992418035135;94.035388132825;0;93.154852703252;90.7407381411221;88.1227260327018;73.2061045770427;64.5360020578214;55.7109557722744;34.0540540565324;25.158867818977;25.181722981843;0;16.8916318160537;1673.0208239624003;0;0;1673.0208239624003
SVK;Slovak Republic;Men;15 to 19;17.8132118451025;49.4446912483341;76.7715022778418;79.5405288253142;94.5780292314946;94.928445895054;0;93.8900379179593;85.7403222278924;95.327604726101;96.1150353178608;95.4802259887006;94.8779320248923;0;93.205317577548;90.9014084507042;87.8209348255431;65.5821917808219;40.9843823946995;10.5820105820106;3.48837209302326;1.95744680851064;1.61764705882353;0;0.617283950617284;1507.7126159439829;0;0;1507.7126159439829
ESP;Spain;Men;15 to 19;32.9318394024276;53.5861378056473;80.4427466107575;67.2064528046303;89.7222222222222;92.5526918334997;0;93.0186019011234;87.2025477231125;95.4664601453592;95.5661577608142;95.3329309997988;95.0730185736566;0;93.1001050335299;90.8089457931493;88.3808545252162;75.7282512096376;60.461104140527;43.284079546717;5.5020205160087;2.55043227665706;1.67527396397531;0;0.432645034414946;1574.1809216784086;0;0;1574.1809216784086
SWE;Sweden;Men;15 to 19;33.4009661835749;54.4468085106383;81.4792691496838;71.0114068441064;85.4304635761589;88.6581469648562;0;90.6852248394004;86.8265993265993;91.6666666666666;92.4764890282132;92.3824959481361;92.2818791946309;0;91.6107382550336;91.04;90.519877675841;84.5360824742268;72.6377952755906;56.6820276497696;17.8378378378378;14.985590778098;11.7283950617284;0;0;1640.830868350092;0;0;1640.830868350092
CHE;Switzerland;Men;15 to 19;57.0584560024172;70.5036678440184;89.396886590123;83.8721273118;92.6044478245458;95.5816355192023;0;96.7054041106395;93.3839056350603;97.8802692115556;97.6743807008776;97.852616113299;98.0467776874058;0;96.892949907003;96.3469891349712;95.7481408205193;91.4138121921216;79.3309111976407;64.2293700736721;24.3507493950317;14.3414802225765;15.1705676242514;0;0;1817.030675856149;10.3374241225622;2.77164093036662;1817.030675856149
TUR;Turkey;Men;15 to 19;45.615589016829;57.5772200772201;76.869597895528;71.898197242842;90.8742820676452;92.5;0;89.5262796551987;84.8261677282378;94.4402132520944;95.3063885267275;94.3513203214696;93.2814021421616;0;82.6239067055394;76.7869071476286;68.9601250977326;58.3572110792741;53.4386143657667;47.8165938864629;41.7218543046358;32.4523663183774;30.379746835443;0;17.3366834170854;1644.3724803066798;0;0;1644.3724803066798
GBR;United Kingdom;Men;15 to 19;63.9494026704146;73.646677471637;84.0902865282419;81.9494584837545;93.1301652892562;93.7273823884198;0;91.8555008210181;86.2143987341772;94.2507922136714;93.8255033557047;93.4170021311864;92.9577464788732;0;90.0381056069679;88.090241343127;86.2784810126582;74.7315224257738;63.2195448460509;50.2491103202847;14.8450244698206;7.84574468085106;6.9364161849711;0;2.74064171122995;1670.1233425992446;0;0;1670.1233425992446
