id,voti,voti_nona,voti_solosindpres,idComune,value,desc,PRO_COM,PRO_COM_T,COMUNE,COMUNE_U,n,idpartizione,nraggrup,nraggrupmacro,nome,nome_breve,nome2,nome_breve2,nome_cand,cognome_cand,data_nascita_cand,luogo_nascita_cand,immagine,blocco_ins
2,0,0,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,7,0,1,2,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola,Banzato,21/02/1964,Castellanza,2.png,N
6,1,0,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,4,0,5,6,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto,Mancini,,,6.png,N
4,0,0,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,5,0,6,4,Fabio Pasquinelli,Fabio Pasquinelli,Fabio Pasquinelli,Fabio Pasquinelli,Fabio,Pasquinelli,10/01/1981,Osimo,4.png,N
3,0,0,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,6,0,2,3,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita,Iannetti,26/08/1953,Brittoli,3.png,N
8,308,0,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,1,0,3,8,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio,Mangialardi,17/11/1964,Ancona,8.png,N
5,451,0,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,2,0,7,5,Francesco Acquaroli,Francesco Acquaroli,Francesco Acquaroli,Francesco Acquaroli,Francesco,Acquaroli,25/09/1974,Macerata,5.png,N
7,75,0,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,3,0,4,7,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario,Mercorelli,06/02/1973,Macerata,7.png,N
2,5,0,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,7,0,1,2,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola,Banzato,21/02/1964,Castellanza,2.png,N
6,35,0,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,4,0,5,6,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto,Mancini,,,6.png,N
4,9,0,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,5,0,6,4,Fabio Pasquinelli,Fabio Pasquinelli,Fabio Pasquinelli,Fabio Pasquinelli,Fabio,Pasquinelli,10/01/1981,Osimo,4.png,N
3,3,0,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,6,0,2,3,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita,Iannetti,26/08/1953,Brittoli,3.png,N
8,1032,0,0,106,106,CAMERINO,43007,043007,Camerino,CAMERINO,1,0,3,8,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio,Mangialardi,17/11/1964,Ancona,8.png,N
5,2090,0,0,106,106,CAMERINO,43007,043007,Camerino,CAMERINO,2,0,7,5,Francesco Acquaroli,Francesco Acquaroli,Francesco Acquaroli,Francesco Acquaroli,Francesco,Acquaroli,25/09/1974,Macerata,5.png,N
7,125,0,0,106,106,CAMERINO,43007,043007,Camerino,CAMERINO,3,0,4,7,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario,Mercorelli,06/02/1973,Macerata,7.png,N
2,9,0,0,106,106,CAMERINO,43007,043007,Camerino,CAMERINO,7,0,1,2,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola,Banzato,21/02/1964,Castellanza,2.png,N
6,31,0,0,106,106,CAMERINO,43007,043007,Camerino,CAMERINO,4,0,5,6,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto,Mancini,,,6.png,N
4,35,0,0,106,106,CAMERINO,43007,043007,Camerino,CAMERINO,5,0,6,4,Fabio Pasquinelli,Fabio Pasquinelli,Fabio Pasquinelli,Fabio Pasquinelli,Fabio,Pasquinelli,10/01/1981,Osimo,4.png,N
3,6,0,0,106,106,CAMERINO,43007,043007,Camerino,CAMERINO,6,0,2,3,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita,Iannetti,26/08/1953,Brittoli,3.png,N
8,82,0,0,107,107,CAMPOROTONDO DI FIASTRONE,43008,043008,Camporotondo di Fiastrone,CAMPOROTONDO DI FIASTRONE,1,0,3,8,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio,Mangialardi,17/11/1964,Ancona,8.png,N
5,134,0,0,107,107,CAMPOROTONDO DI FIASTRONE,43008,043008,Camporotondo di Fiastrone,CAMPOROTONDO DI FIASTRONE,2,0,7,5,Francesco Acquaroli,Francesco Acquaroli,Francesco Acquaroli,Francesco Acquaroli,Francesco,Acquaroli,25/09/1974,Macerata,5.png,N
7,29,0,0,107,107,CAMPOROTONDO DI FIASTRONE,43008,043008,Camporotondo di Fiastrone,CAMPOROTONDO DI FIASTRONE,3,0,4,7,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario,Mercorelli,06/02/1973,Macerata,7.png,N
2,0,0,0,107,107,CAMPOROTONDO DI FIASTRONE,43008,043008,Camporotondo di Fiastrone,CAMPOROTONDO DI FIASTRONE,7,0,1,2,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola,Banzato,21/02/1964,Castellanza,2.png,N
6,10,0,0,107,107,CAMPOROTONDO DI FIASTRONE,43008,043008,Camporotondo di Fiastrone,CAMPOROTONDO DI FIASTRONE,4,0,5,6,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto,Mancini,,,6.png,N
4,6,0,0,107,107,CAMPOROTONDO DI FIASTRONE,43008,043008,Camporotondo di Fiastrone,CAMPOROTONDO DI FIASTRONE,5,0,6,4,Fabio Pasquinelli,Fabio Pasquinelli,Fabio Pasquinelli,Fabio Pasquinelli,Fabio,Pasquinelli,10/01/1981,Osimo,4.png,N
3,3,0,0,107,107,CAMPOROTONDO DI FIASTRONE,43008,043008,Camporotondo di Fiastrone,CAMPOROTONDO DI FIASTRONE,6,0,2,3,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita,Iannetti,26/08/1953,Brittoli,3.png,N
8,495,0,0,108,108,CASTELRAIMONDO,43009,043009,Castelraimondo,CASTELRAIMONDO,1,0,3,8,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio,Mangialardi,17/11/1964,Ancona,8.png,N
5,1628,0,0,108,108,CASTELRAIMONDO,43009,043009,Castelraimondo,CASTELRAIMONDO,2,0,7,5,Francesco Acquaroli,Francesco Acquaroli,Francesco Acquaroli,Francesco Acquaroli,Francesco,Acquaroli,25/09/1974,Macerata,5.png,N
7,162,0,0,108,108,CASTELRAIMONDO,43009,043009,Castelraimondo,CASTELRAIMONDO,3,0,4,7,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario,Mercorelli,06/02/1973,Macerata,7.png,N
2,8,0,0,108,108,CASTELRAIMONDO,43009,043009,Castelraimondo,CASTELRAIMONDO,7,0,1,2,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola,Banzato,21/02/1964,Castellanza,2.png,N
