"Tassi generici del movimento anagrafico, anni 2022/2041, scenario mediano, per 1.000 abitanti"
"Anno";"Codice comune";"Comune";"Codice provincia";"Provincia";"Tasso di natalità";"Tasso di mortalità";"Tasso migratorio netto";"Tasso totale di crescita"
2023;"079029";"Chiaravalle Centrale";"079";"Catanzaro";6,8;15,1;-4,6;-12,9
2023;"080027";"Cinquefrondi";"080";"Reggio di Calabria";8,6;10,2;-2,6;-4,2
2023;"101008";"Cirò Marina";"101";"Crotone";8,7;10,5;-1,3;-3
2023;"080028";"Cittanova";"080";"Reggio di Calabria";8,3;11,8;-1,6;-5,2
2023;"078157";"Corigliano-Rossano";"078";"Cosenza";8,1;9,6;2,1;0,5
2023;"078045";"Cosenza";"078";"Cosenza";6,4;13,9;3,3;-4,1
2023;"101009";"Cotronei";"101";"Crotone";8,2;14;3,1;-2,7
2023;"078047";"Crosia";"078";"Cosenza";7,9;8,8;7,8;6,9
2023;"101010";"Crotone";"101";"Crotone";7,4;9,9;-0,2;-2,8
2023;"079039";"Curinga";"079";"Catanzaro";7,3;11;1,7;-2,1
2023;"101012";"Cutro";"101";"Crotone";7,8;13,5;-6,9;-12,5
2023;"079042";"Davoli";"079";"Catanzaro";6,4;10;6,8;3,2
2023;"078048";"Diamante";"078";"Cosenza";5,8;13,5;2,4;-5,3
2023;"078058";"Fuscaldo";"078";"Cosenza";7,3;11;5,3;1,6
2023;"080038";"Gioia Tauro";"080";"Reggio di Calabria";8,6;9,8;-0,2;-1,3
2023;"080039";"Gioiosa Ionica";"080";"Reggio di Calabria";8,6;10,5;6,4;4,5
2023;"079059";"Girifalco";"079";"Catanzaro";6,9;15,8;-1,3;-10,2
2023;"101013";"Isola di Capo Rizzuto";"101";"Crotone";10,6;7,2;6,4;9,8
2023;"079160";"Lamezia Terme";"079";"Catanzaro";7,8;10,4;-0,2;-2,8
2023;"080043";"Locri";"080";"Reggio di Calabria";7,5;11,8;1,2;-3,1
2023;"078070";"Luzzi";"078";"Cosenza";7;12,7;-1,7;-7,3
2023;"080045";"Marina di Gioiosa Ionica";"080";"Reggio di Calabria";7,9;11,6;-2,1;-5,8
2023;"080050";"Melito di Porto Salvo";"080";"Reggio di Calabria";6,5;12,6;-2;-8,1
2023;"078079";"Mendicino";"078";"Cosenza";7,1;9,4;-0,9;-3,2
2023;"101015";"Mesoraca";"101";"Crotone";7,8;14;-9,6;-15,7
2023;"102021";"Mileto";"102";"Vibo Valentia";8,1;12,9;-1,8;-6,6
2023;"078081";"Montalto Uffugo";"078";"Cosenza";10;8,4;5,7;7,3
2023;"080053";"Montebello Jonico";"080";"Reggio di Calabria";6,8;13,8;1,3;-5,6
2023;"079081";"Montepaone";"079";"Catanzaro";7,8;8,5;13,1;12,4
2023;"080054";"Motta San Giovanni";"080";"Reggio di Calabria";5,9;14,1;-4,2;-12,4
2023;"102025";"Nicotera";"102";"Vibo Valentia";6,5;12,5;2,4;-3,6
2023;"080057";"Palmi";"080";"Reggio di Calabria";8,3;10,8;-2,5;-5
2023;"078091";"Paola";"078";"Cosenza";6,4;12,9;-2,3;-8,8
2023;"101017";"Petilia Policastro";"101";"Crotone";8,1;11,7;-4;-7,6
2023;"102027";"Pizzo";"102";"Vibo Valentia";6;10,9;3,6;-1,3
2023;"080061";"Polistena";"080";"Reggio di Calabria";7,9;10,3;-2,2;-4,7
2023;"078101";"Praia a Mare";"078";"Cosenza";5,7;12;0,7;-5,6
2023;"080063";"Reggio di Calabria";"080";"Reggio di Calabria";6,8;12,3;-2;-7,5
2023;"078102";"Rende";"078";"Cosenza";7,4;9,1;11,3;9,6
2023;"080065";"Rizziconi";"080";"Reggio di Calabria";7,9;10,5;-1;-3,6
2023;"101019";"Rocca di Neto";"101";"Crotone";9,4;10,9;-3,2;-4,7
2023;"080067";"Roccella Ionica";"080";"Reggio di Calabria";6,2;14,3;-0,4;-8,4
2023;"078104";"Roggiano Gravina";"078";"Cosenza";7,1;12,9;2,7;-3,2
2023;"078105";"Rogliano";"078";"Cosenza";5,8;12,9;-2;-9,1
2023;"080069";"Rosarno";"080";"Reggio di Calabria";9,4;9,9;7;6,5
2023;"078119";"San Giovanni in Fiore";"078";"Cosenza";6,6;12,4;-5,9;-11,7
2023;"078122";"San Lucido";"078";"Cosenza";7,1;10,9;25,9;22
2023;"078123";"San Marco Argentano";"078";"Cosenza";6,2;13,1;12,3;5,5
2023;"078138";"Scalea";"078";"Cosenza";6,6;9,8;12,7;9,5
2023;"079127";"Sellia Marina";"079";"Catanzaro";8,6;9,2;6,2;5,6
