ags,ac,al,dv
09185139,3,40 bis 59,2.4
09185140,1,unter 18,2.0
09185149,1,unter 18,1.4
09185150,1,unter 18,3.7
09185153,1,unter 18,1.1
09185158,3,40 bis 59,1.0
09185163,1,unter 18,3.5
09185168,3,40 bis 59,3.8
09185118,3,40 bis 59,2.4
09185157,1,unter 18,2.6
09185116,1,unter 18,4.8
09185123,1,unter 18,4.8
09185131,1,unter 18,4.0
09185143,1,unter 18,4.6
09185166,3,40 bis 59,3.0
09186113,2,19 bis 39,0.3
09186125,1,unter 18,3.5
09186128,3,40 bis 59,2.0
09186132,1,unter 18,3.6
09186137,1,unter 18,2.0
09186139,3,40 bis 59,3.0
09186143,2,19 bis 39,1.0
09186146,1,unter 18,1.7
09186149,3,40 bis 59,3.2
09186151,3,40 bis 59,2.8
09186152,1,unter 18,2.1
09186158,1,unter 18,2.2
09186162,3,40 bis 59,1.4
09186116,3,40 bis 59,3.7
09186122,1,unter 18,2.3
09186126,1,unter 18,3.7
09186130,3,40 bis 59,2.3
09186144,3,40 bis 59,4.4
09186147,1,unter 18,1.3
09187113,4,60 bis 74,1.9
09187114,5,75 und älter,5.7
09187116,1,unter 18,5.6
09187117,5,75 und älter,1.9
09187118,5,75 und älter,1.7
09187120,5,75 und älter,1.7
09187122,3,40 bis 59,1.1
09187124,1,unter 18,2.7
09187125,4,60 bis 74,1.8
09187126,1,unter 18,2.6
09187128,1,unter 18,0.9
09187129,1,unter 18,1.4
09187130,1,unter 18,1.1
09187131,3,40 bis 59,2.7
09187132,3,40 bis 59,3.2
09187134,1,unter 18,4.5
09187137,1,unter 18,2.0
09187142,1,unter 18,2.4
09187148,5,75 und älter,2.8
09187150,3,40 bis 59,1.8
09187154,1,unter 18,2.5
09187156,3,40 bis 59,1.9
09187157,5,75 und älter,2.8
09187162,5,75 und älter,4.9
09187163,1,unter 18,2.7
09187165,3,40 bis 59,2.1
09187167,3,40 bis 59,1.2
09187168,5,75 und älter,3.8
09187169,3,40 bis 59,2.3
09187172,1,unter 18,2.1
09187174,1,unter 18,1.5
09187176,4,60 bis 74,2.4
09187177,5,75 und älter,2.5
09187179,1,unter 18,2.6
09187181,1,unter 18,2.6
09187182,2,19 bis 39,0.4
09187121,5,75 und älter,3.1
09187138,4,60 bis 74,4.5
09187139,1,unter 18,2.1
09187145,3,40 bis 59,3.4
09187173,1,unter 18,4.0
09187164,1,unter 18,2.9
09187170,1,unter 18,2.6
09187159,1,unter 18,2.0
09187186,1,unter 18,3.1
09188113,3,40 bis 59,3.5
09188117,1,unter 18,4.3
09188118,5,75 und älter,5.2
09188120,1,unter 18,2.7
09188121,3,40 bis 59,2.3
09188124,5,75 und älter,3.4
09188126,3,40 bis 59,4.2
09188127,5,75 und älter,5.2
09188132,3,40 bis 59,2.7
09188137,5,75 und älter,4.1
09188139,5,75 und älter,2.3
09188141,5,75 und älter,4.2
09188144,3,40 bis 59,2.3
09188145,3,40 bis 59,4.4
09189111,3,40 bis 59,1.7
09189114,4,60 bis 74,3.3
09189115,4,60 bis 74,1.8
09189118,1,unter 18,1.8
09189119,5,75 und älter,1.9
09189120,5,75 und älter,2.5
09189124,5,75 und älter,2.9
09189127,1,unter 18,3.3
09189130,4,60 bis 74,2.5
09189134,1,unter 18,2.5
09189135,3,40 bis 59,1.2
09189139,4,60 bis 74,4.3
09189140,5,75 und älter,3.3
09189141,4,60 bis 74,5.2
09189142,1,unter 18,2.3
09189143,4,60 bis 74,2.3
09189145,5,75 und älter,1.7
09189148,1,unter 18,2.7
09189149,3,40 bis 59,1.0
09189152,4,60 bis 74,1.3
09189154,5,75 und älter,0.8
09189155,5,75 und älter,1.4
09189157,5,75 und älter,1.9
09189159,3,40 bis 59,2.1
09189160,5,75 und älter,4.9
09189113,5,75 und älter,4.1
