ags,ac,al,dv
01001000,2,19 bis 39,7.2
01002000,2,19 bis 39,8.6
01003000,2,19 bis 39,1.8
01004000,5,75 und älter,0.9
01051011,4,60 bis 74,3.5
01051044,2,19 bis 39,2.4
01051003,4,60 bis 74,6.9
01051010,3,40 bis 59,10.5
01051012,4,60 bis 74,1.3
01051016,5,75 und älter,4.8
01051022,1,unter 18,1.5
01051024,3,40 bis 59,5.0
01051026,3,40 bis 59,5.5
01051032,3,40 bis 59,7.9
01051037,3,40 bis 59,5.5
01051051,3,40 bis 59,3.7
01051064,1,unter 18,2.8
01051089,4,60 bis 74,4.9
01051097,4,60 bis 74,3.6
01051110,1,unter 18,3.8
01051021,3,40 bis 59,5.3
01051034,4,60 bis 74,9.2
01051046,4,60 bis 74,3.3
01051057,3,40 bis 59,6.5
01051062,3,40 bis 59,3.0
01051072,5,75 und älter,4.0
01051073,4,60 bis 74,6.6
01051076,4,60 bis 74,3.7
01051090,1,unter 18,4.3
01051118,4,60 bis 74,5.5
01051119,1,unter 18,3.7
01051019,4,60 bis 74,3.0
01051020,4,60 bis 74,5.3
01051023,1,unter 18,2.6
01051030,3,40 bis 59,6.2
01051035,3,40 bis 59,5.4
01051047,3,40 bis 59,4.3
01051049,5,75 und älter,2.7
01051053,3,40 bis 59,6.5
01051060,4,60 bis 74,8.2
01051061,4,60 bis 74,4.2
01051065,4,60 bis 74,3.7
01051068,3,40 bis 59,4.4
01051071,4,60 bis 74,2.2
01051080,4,60 bis 74,6.7
01051088,3,40 bis 59,2.7
01051092,3,40 bis 59,4.6
01051096,4,60 bis 74,5.7
01051100,3,40 bis 59,5.3
01051102,5,75 und älter,5.8
01051114,5,75 und älter,2.9
01051117,4,60 bis 74,16.1
01051125,4,60 bis 74,4.7
01051136,4,60 bis 74,3.1
01051139,1,unter 18,5.3
01051141,4,60 bis 74,2.9
01051048,4,60 bis 74,2.4
01051067,5,75 und älter,11.8
01051069,5,75 und älter,4.5
01051075,3,40 bis 59,3.0
01051081,4,60 bis 74,4.4
01051082,3,40 bis 59,2.1
01051087,4,60 bis 74,7.8
01051107,5,75 und älter,6.3
01051113,3,40 bis 59,4.6
01051122,4,60 bis 74,3.5
01051130,4,60 bis 74,3.7
01051001,5,75 und älter,2.5
01051002,3,40 bis 59,8.0
01051004,1,unter 18,2.2
01051006,1,unter 18,2.4
01051015,4,60 bis 74,5.7
01051017,1,unter 18,2.8
01051027,3,40 bis 59,5.7
01051028,1,unter 18,3.1
01051039,1,unter 18,2.2
01051063,4,60 bis 74,6.9
01051074,4,60 bis 74,4.6
01051078,3,40 bis 59,2.9
01051083,3,40 bis 59,9.5
01051085,4,60 bis 74,7.8
01051086,4,60 bis 74,5.1
01051098,3,40 bis 59,5.8
01051099,3,40 bis 59,4.2
01051134,3,40 bis 59,2.6
01051135,4,60 bis 74,5.4
01051137,3,40 bis 59,6.2
01051138,3,40 bis 59,2.4
01051013,5,75 und älter,11.8
01051014,4,60 bis 74,16.2
01051045,1,unter 18,7.4
01051079,2,19 bis 39,2.1
01051084,1,unter 18,8.5
01051093,1,unter 18,4.0
01051105,3,40 bis 59,2.9
01051109,4,60 bis 74,4.3
01051127,5,75 und älter,2.2
01051129,3,40 bis 59,2.6
01051132,4,60 bis 74,8.4
01051140,3,40 bis 59,4.2
01053032,1,unter 18,0.8
01053083,5,75 und älter,1.2
01053090,5,75 und älter,3.9
01053100,5,75 und älter,3.9
01053116,1,unter 18,3.2
01053129,5,75 und älter,3.5
01053008,3,40 bis 59,3.1
01053009,1,unter 18,4.8
01053011,1,unter 18,4.3
01053034,1,unter 18,3.6
01053061,3,40 bis 59,5.8
01053067,3,40 bis 59,7.3
01053075,5,75 und älter,3.3
01053094,4,60 bis 74,9.0
01053103,3,40 bis 59,2.9
01053120,1,unter 18,9.6
01053002,3,40 bis 59,4.1
01053005,5,75 und älter,8.5
01053013,3,40 bis 59,3.4
01053014,1,unter 18,3.3
01053037,3,40 bis 59,4.3
01053056,4,60 bis 74,5.0
01053084,3,40 bis 59,6.1
01053095,3,40 bis 59,6.6
01053113,3,40 bis 59,6.8
01053125,3,40 bis 59,9.5
01053134,3,40 bis 59,4.3
01053015,3,40 bis 59,5.6
01053020,1,unter 18,1.0
01053029,4,60 bis 74,6.7
01053046,3,40 bis 59,3.7
01053048,3,40 bis 59,5.3
01053064,1,unter 18,3.1
01053080,4,60 bis 74,4.1
01053092,1,unter 18,4.8
01053104,4,60 bis 74,4.5
01053115,3,40 bis 59,3.3
01053126,3,40 bis 59,7.9
01053132,5,75 und älter,4.8
01053003,5,75 und älter,10.5
01053012,3,40 bis 59,5.3
01053023,3,40 bis 59,1.9
01053028,3,40 bis 59,6.5
01053050,1,unter 18,2.0
01053053,3,40 bis 59,4.9
01053072,3,40 bis 59,4.6
01053133,5,75 und älter,4.6
01053135,4,60 bis 74,9.2
01053006,4,60 bis 74,5.7
01053022,3,40 bis 59,10.4
01053058,1,unter 18,4.2
01053073,3,40 bis 59,1.9
01053087,1,unter 18,1.5
01053111,3,40 bis 59,6.1
01053128,1,unter 18,2.4
01053004,3,40 bis 59,4.4
01053018,4,60 bis 74,5.3
01053026,1,unter 18,6.5
01053033,1,unter 18,7.5
01053041,5,75 und älter,4.9
01053043,1,unter 18,5.6
01053051,3,40 bis 59,7.6
01053054,2,19 bis 39,2.8
01053057,4,60 bis 74,5.7
01053062,3,40 bis 59,7.4
01053066,3,40 bis 59,5.5
01053078,4,60 bis 74,14.4
01053088,5,75 und älter,1.7
01053093,4,60 bis 74,4.1
01053098,3,40 bis 59,4.0
01053107,4,60 bis 74,3.9
01053110,3,40 bis 59,3.2
01053117,5,75 und älter,6.7
01053123,4,60 bis 74,2.6
01053136,1,unter 18,2.8
01053007,3,40 bis 59,3.0
01053017,3,40 bis 59,5.7
01053021,3,40 bis 59,10.5
01053027,3,40 bis 59,4.8
01053031,3,40 bis 59,2.4
01053036,3,40 bis 59,4.8
01053042,3,40 bis 59,4.8
01053045,4,60 bis 74,4.7
01053047,3,40 bis 59,2.5
01053049,3,40 bis 59,4.4
01053052,1,unter 18,6.1
01053059,4,60 bis 74,5.8
01053060,3,40 bis 59,5.5
01053070,3,40 bis 59,2.9
01053071,3,40 bis 59,6.2
01053076,1,unter 18,2.5
01053089,3,40 bis 59,10.2
01053091,1,unter 18,5.7
01053106,3,40 bis 59,4.5
01053025,3,40 bis 59,2.6
01053038,5,75 und älter,21.9
01053044,1,unter 18,3.5
01053068,1,unter 18,4.4
01053069,3,40 bis 59,2.8
01053077,4,60 bis 74,2.5
01053079,3,40 bis 59,4.4
01053081,4,60 bis 74,7.1
01053085,3,40 bis 59,6.4
01053086,3,40 bis 59,4.2
01053096,1,unter 18,4.4
01053097,4,60 bis 74,6.0
01053099,4,60 bis 74,2.2
01053101,3,40 bis 59,6.2
01053108,1,unter 18,5.1
01053109,3,40 bis 59,6.2
01053112,3,40 bis 59,4.0
01053114,3,40 bis 59,4.6
01053118,3,40 bis 59,4.4
01053121,1,unter 18,2.8
01053122,3,40 bis 59,3.8
01053124,3,40 bis 59,8.0
01053127,1,unter 18,1.1
01053130,3,40 bis 59,5.9
01054033,5,75 und älter,7.1
01054056,4,60 bis 74,2.6
01054108,4,60 bis 74,1.8
01054138,4,60 bis 74,4.2
01054168,5,75 und älter,3.8
01054035,3,40 bis 59,7.2
01054036,4,60 bis 74,5.0
01054072,3,40 bis 59,7.4
01054095,4,60 bis 74,1.4
01054100,3,40 bis 59,6.4
01054104,1,unter 18,3.1
01054113,5,75 und älter,7.0
01054134,4,60 bis 74,4.8
01054135,5,75 und älter,10.2
01054145,4,60 bis 74,4.6
01054148,3,40 bis 59,8.4
01054046,2,19 bis 39,9.4
01054061,5,75 und älter,5.2
01054078,3,40 bis 59,4.7
01054149,5,75 und älter,4.0
01054003,1,unter 18,2.4
01054004,3,40 bis 59,6.7
01054011,3,40 bis 59,3.5
01054013,1,unter 18,6.0
01054041,1,unter 18,3.1
01054057,1,unter 18,1.8
01054079,1,unter 18,3.0
01054092,1,unter 18,2.9
01054101,1,unter 18,3.3
01054118,1,unter 18,2.1
01054123,1,unter 18,3.4
01054144,1,unter 18,2.9
01054152,1,unter 18,4.3
01054103,4,60 bis 74,7.3
01054005,4,60 bis 74,5.8
01054015,3,40 bis 59,2.8
01054083,4,60 bis 74,3.8
01054085,3,40 bis 59,4.5
01054087,5,75 und älter,8.0
01054089,3,40 bis 59,3.1
01054094,4,60 bis 74,2.0
01054098,4,60 bis 74,1.3
01054129,3,40 bis 59,5.4
01054143,5,75 und älter,5.2
01054160,3,40 bis 59,7.4
01054163,3,40 bis 59,4.4
01054164,5,75 und älter,4.4
01054001,1,unter 18,3.0
01054009,4,60 bis 74,10.6
01054016,3,40 bis 59,3.0
01054017,4,60 bis 74,2.2
01054018,3,40 bis 59,4.4
01054022,4,60 bis 74,8.8
01054034,3,40 bis 59,10.2
01054055,4,60 bis 74,2.7
01054062,3,40 bis 59,2.7
01054065,5,75 und älter,3.8
01054068,1,unter 18,2.9
01054073,4,60 bis 74,2.4
01054076,5,75 und älter,1.6
01054086,4,60 bis 74,5.5
01054088,5,75 und älter,1.2
01054109,3,40 bis 59,0.6
01054110,4,60 bis 74,8.9
01054124,4,60 bis 74,4.8
01054125,4,60 bis 74,2.1
01054126,4,60 bis 74,2.0
01054131,4,60 bis 74,2.5
01054136,3,40 bis 59,7.6
01054142,4,60 bis 74,4.7
01054154,3,40 bis 59,3.4
01054165,3,40 bis 59,2.6
01054166,4,60 bis 74,6.3
01054167,1,unter 18,4.1
01054007,4,60 bis 74,2.6
01054023,4,60 bis 74,3.6
01054042,1,unter 18,1.9
01054043,1,unter 18,5.3
01054052,1,unter 18,4.6
01054070,3,40 bis 59,3.7
01054084,5,75 und älter,2.0
01054091,4,60 bis 74,11.4
01054096,1,unter 18,5.2
01054097,1,unter 18,6.2
01054099,4,60 bis 74,1.6
01054105,4,60 bis 74,3.5
01054106,1,unter 18,2.9
01054116,4,60 bis 74,4.1
01054119,3,40 bis 59,1.9
01054120,5,75 und älter,1.8
01054141,4,60 bis 74,4.0
01054156,3,40 bis 59,1.8
01054159,4,60 bis 74,1.7
01054161,3,40 bis 59,3.1
01054162,5,75 und älter,4.4
01054002,4,60 bis 74,3.3
01054006,4,60 bis 74,6.2
01054010,1,unter 18,4.2
01054012,4,60 bis 74,1.7
01054014,3,40 bis 59,2.6
01054019,4,60 bis 74,3.1
01054020,1,unter 18,2.2
01054024,3,40 bis 59,1.9
01054037,1,unter 18,6.2
01054038,1,unter 18,2.4
01054045,1,unter 18,3.2
01054059,1,unter 18,5.1
01054075,4,60 bis 74,2.1
01054080,1,unter 18,6.2
01054093,4,60 bis 74,12.2
01054121,1,unter 18,5.4
01054128,4,60 bis 74,4.0
01054146,2,19 bis 39,9.0
01055001,3,40 bis 59,4.1
01055004,5,75 und älter,6.6
01055007,4,60 bis 74,4.0
01055010,4,60 bis 74,10.9
01055012,5,75 und älter,4.1
01055016,4,60 bis 74,7.8
01055018,4,60 bis 74,7.0
01055021,4,60 bis 74,7.2
01055025,4,60 bis 74,12.7
01055028,5,75 und älter,4.5
01055032,5,75 und älter,5.0
01055033,5,75 und älter,3.3
01055035,3,40 bis 59,3.0
01055040,4,60 bis 74,2.1
01055041,3,40 bis 59,6.7
01055042,5,75 und älter,8.5
01055044,5,75 und älter,4.5
01055046,4,60 bis 74,4.8
01055014,3,40 bis 59,6.4
01055015,3,40 bis 59,3.9
01055017,4,60 bis 74,9.5
01055022,4,60 bis 74,6.2
01055031,4,60 bis 74,5.5
01055043,4,60 bis 74,4.3
01055006,1,unter 18,4.3
01055011,3,40 bis 59,4.3
01055020,4,60 bis 74,3.8
01055023,3,40 bis 59,6.6
01055027,5,75 und älter,1.6
01055029,3,40 bis 59,3.9
01055036,4,60 bis 74,5.1
01055002,3,40 bis 59,3.9
01055024,3,40 bis 59,3.7
01055037,3,40 bis 59,5.5
01055038,5,75 und älter,2.1
01055039,5,75 und älter,7.3
01056002,5,75 und älter,1.7
01056005,3,40 bis 59,5.5
01056015,2,19 bis 39,1.0
01056018,3,40 bis 59,2.0
01056021,3,40 bis 59,1.8
01056025,3,40 bis 59,8.8
01056039,3,40 bis 59,1.3
01056041,3,40 bis 59,1.7
01056043,5,75 und älter,3.6
01056044,3,40 bis 59,3.0
01056048,4,60 bis 74,1.0
01056049,4,60 bis 74,1.1
01056050,5,75 und älter,3.4
01056029,1,unter 18,2.6
01056030,3,40 bis 59,5.4
01056031,1,unter 18,3.4
01056033,3,40 bis 59,4.2
01056042,3,40 bis 59,6.5
01056045,3,40 bis 59,4.1
01056046,3,40 bis 59,4.3
01056006,3,40 bis 59,4.7
01056010,3,40 bis 59,4.9
01056038,3,40 bis 59,9.2
01056051,3,40 bis 59,5.9
01056003,3,40 bis 59,6.6
01056004,3,40 bis 59,4.5
01056008,1,unter 18,2.3
01056011,3,40 bis 59,6.3
01056014,3,40 bis 59,4.8
01056017,3,40 bis 59,5.0
01056022,1,unter 18,2.2
01056026,3,40 bis 59,3.8
01056034,3,40 bis 59,6.3
01056035,3,40 bis 59,6.1
01056009,3,40 bis 59,5.6
01056013,3,40 bis 59,4.0
01056032,1,unter 18,5.1
01056040,3,40 bis 59,2.7
01056047,3,40 bis 59,6.6
01056001,3,40 bis 59,4.1
01056016,3,40 bis 59,3.1
01056019,4,60 bis 74,2.5
01056020,3,40 bis 59,3.1
01056023,3,40 bis 59,5.9
01056024,3,40 bis 59,3.6
01056027,3,40 bis 59,3.3
01056028,3,40 bis 59,3.4
01056036,3,40 bis 59,4.0
01056037,3,40 bis 59,7.0
01057001,4,60 bis 74,3.3
01057008,3,40 bis 59,2.5
01057009,5,75 und älter,5.4
01057057,5,75 und älter,5.8
01057062,5,75 und älter,3.3
01057091,5,75 und älter,4.3
01057004,5,75 und älter,7.0
01057007,4,60 bis 74,6.1
01057013,4,60 bis 74,5.0
01057021,4,60 bis 74,5.7
01057026,4,60 bis 74,8.3
01057027,3,40 bis 59,3.5
01057029,4,60 bis 74,6.6
01057030,5,75 und älter,12.8
01057034,1,unter 18,3.3
01057035,4,60 bis 74,5.3
01057048,5,75 und älter,4.4
01057055,4,60 bis 74,7.8
01057076,3,40 bis 59,4.7
01057082,3,40 bis 59,7.3
01057015,1,unter 18,2.6
01057017,5,75 und älter,10.9
01057022,5,75 und älter,2.8
01057032,3,40 bis 59,4.0
01057045,4,60 bis 74,3.5
01057053,4,60 bis 74,7.1
01057065,4,60 bis 74,2.9
01057067,4,60 bis 74,3.1
01057089,3,40 bis 59,9.5
01057002,1,unter 18,5.6
01057010,3,40 bis 59,5.1
01057011,3,40 bis 59,4.4
01057023,1,unter 18,6.4
01057031,3,40 bis 59,5.5
01057033,5,75 und älter,4.2
01057037,5,75 und älter,5.4
01057042,3,40 bis 59,7.8
01057046,3,40 bis 59,3.6
01057047,4,60 bis 74,3.3
01057054,1,unter 18,3.7
01057058,4,60 bis 74,2.0
01057059,4,60 bis 74,6.1
01057066,4,60 bis 74,4.5
01057070,1,unter 18,2.2
01057084,3,40 bis 59,5.5
01057086,3,40 bis 59,1.9
01057003,3,40 bis 59,5.4
01057006,1,unter 18,8.3
01057012,3,40 bis 59,5.0
01057020,3,40 bis 59,6.6
01057028,1,unter 18,6.4
01057039,4,60 bis 74,8.0
01057040,3,40 bis 59,5.1
01057041,1,unter 18,5.8
01057043,5,75 und älter,8.1
01057049,4,60 bis 74,5.8
01057056,3,40 bis 59,6.0
01057060,3,40 bis 59,4.5
01057063,3,40 bis 59,1.8
01057073,5,75 und älter,6.5
01057078,3,40 bis 59,4.6
01057079,4,60 bis 74,5.2
01057081,4,60 bis 74,6.0
01057087,5,75 und älter,7.3
01057088,4,60 bis 74,7.7
01057016,4,60 bis 74,3.6
01057050,3,40 bis 59,4.5
01057052,4,60 bis 74,4.2
01057072,3,40 bis 59,4.3
01057077,1,unter 18,5.0
01057090,3,40 bis 59,7.1
01057025,5,75 und älter,9.3
01057051,5,75 und älter,4.7
01057074,4,60 bis 74,2.1
01057005,3,40 bis 59,10.5
01057024,3,40 bis 59,9.4
01057068,4,60 bis 74,3.9
01057069,3,40 bis 59,3.9
01057071,3,40 bis 59,2.5
01057080,1,unter 18,5.5
01057083,5,75 und älter,3.8
01057085,3,40 bis 59,1.7
01058005,5,75 und älter,6.2
01058034,5,75 und älter,3.7
01058043,5,75 und älter,5.3
01058092,5,75 und älter,5.2
01058135,2,19 bis 39,2.5
01058169,3,40 bis 59,3.0
01058001,3,40 bis 59,3.5
01058028,3,40 bis 59,5.2
01058050,3,40 bis 59,4.6
01058093,3,40 bis 59,6.0
01058104,1,unter 18,5.0
01058126,1,unter 18,5.0
01058130,3,40 bis 59,4.0
01058171,4,60 bis 74,6.8
01058037,3,40 bis 59,5.9
01058116,3,40 bis 59,5.7
01058150,3,40 bis 59,2.9
01058157,5,75 und älter,6.0
01058051,3,40 bis 59,4.7
01058058,3,40 bis 59,3.0
01058096,1,unter 18,2.6
01058110,3,40 bis 59,5.6
01058112,5,75 und älter,3.0
01058121,3,40 bis 59,3.9
01058142,4,60 bis 74,3.4
01058165,1,unter 18,3.2
01058019,3,40 bis 59,3.1
01058053,5,75 und älter,2.5
01058145,3,40 bis 59,2.1
01058003,3,40 bis 59,4.3
01058054,5,75 und älter,3.4
01058118,3,40 bis 59,2.0
01058136,3,40 bis 59,4.4
01058010,4,60 bis 74,4.4
01058029,4,60 bis 74,2.3
01058036,4,60 bis 74,4.1
01058047,3,40 bis 59,2.3
01058056,1,unter 18,3.6
01058070,1,unter 18,2.2
01058078,3,40 bis 59,2.8
01058089,3,40 bis 59,6.8
01058097,3,40 bis 59,4.6
01058129,4,60 bis 74,2.0
01058154,3,40 bis 59,4.7
01058048,4,60 bis 74,1.2
01058068,3,40 bis 59,6.0
01058071,3,40 bis 59,3.2
01058086,1,unter 18,2.2
01058101,3,40 bis 59,3.9
01058148,3,40 bis 59,4.4
01058155,1,unter 18,2.4
01058172,3,40 bis 59,1.8
01058018,4,60 bis 74,5.4
01058105,3,40 bis 59,3.3
01058107,5,75 und älter,5.9
01058138,4,60 bis 74,2.8
01058139,3,40 bis 59,6.4
01058141,3,40 bis 59,4.8
01058011,1,unter 18,4.0
01058021,3,40 bis 59,6.3
01058023,4,60 bis 74,11.3
01058038,3,40 bis 59,8.9
01058046,3,40 bis 59,5.3
01058049,3,40 bis 59,5.4
01058059,3,40 bis 59,5.2
01058065,3,40 bis 59,4.9
01058091,3,40 bis 59,2.1
01058094,3,40 bis 59,7.9
01058117,5,75 und älter,3.3
01058120,3,40 bis 59,12.0
01058147,3,40 bis 59,9.5
01058163,3,40 bis 59,5.4
01058168,4,60 bis 74,7.3
01058026,3,40 bis 59,2.1
01058073,3,40 bis 59,4.0
01058122,3,40 bis 59,5.3
01058124,3,40 bis 59,4.0
01058132,1,unter 18,3.6
01058140,3,40 bis 59,1.5
01058146,3,40 bis 59,7.3
01058016,3,40 bis 59,9.6
01058022,5,75 und älter,4.4
01058033,1,unter 18,3.5
01058063,2,19 bis 39,6.4
01058064,3,40 bis 59,5.7
01058076,4,60 bis 74,3.8
01058098,3,40 bis 59,4.0
01058108,3,40 bis 59,9.6
01058109,3,40 bis 59,4.5
01058133,1,unter 18,7.2
01058143,1,unter 18,6.4
01058144,3,40 bis 59,2.5
01058153,1,unter 18,5.5
01058170,3,40 bis 59,4.3
01058008,3,40 bis 59,3.2
01058024,5,75 und älter,1.1
01058030,3,40 bis 59,4.6
01058035,3,40 bis 59,2.6
01058039,3,40 bis 59,4.2
01058066,1,unter 18,3.6
01058069,3,40 bis 59,4.0
01058080,4,60 bis 74,4.4
01058081,4,60 bis 74,7.1
01058083,4,60 bis 74,5.2
01058111,1,unter 18,8.8
01058123,1,unter 18,5.8
01058127,3,40 bis 59,2.6
01058152,4,60 bis 74,5.2
01058175,3,40 bis 59,5.1
01058004,1,unter 18,5.8
01058012,4,60 bis 74,2.2
01058032,4,60 bis 74,9.5
01058040,4,60 bis 74,4.2
01058042,1,unter 18,3.4
01058052,3,40 bis 59,2.5
01058057,3,40 bis 59,4.1
01058067,1,unter 18,12.2
01058082,3,40 bis 59,6.4
01058084,3,40 bis 59,2.0
01058087,4,60 bis 74,9.1
01058090,4,60 bis 74,4.9
01058099,1,unter 18,5.2
01058102,4,60 bis 74,3.4
01058137,1,unter 18,5.2
01058162,4,60 bis 74,7.0
01058166,4,60 bis 74,5.5
01058173,4,60 bis 74,6.7
01058174,3,40 bis 59,6.8
01058007,3,40 bis 59,6.2
01058009,4,60 bis 74,2.3
01058013,4,60 bis 74,3.4
01058014,2,19 bis 39,3.3
01058015,1,unter 18,6.4
01058025,4,60 bis 74,3.6
01058044,3,40 bis 59,9.3
01058061,3,40 bis 59,2.8
01058062,1,unter 18,4.5
01058072,4,60 bis 74,2.6
01058077,5,75 und älter,1.9
01058085,1,unter 18,4.4
01058100,4,60 bis 74,4.1
01058103,3,40 bis 59,6.1
01058106,3,40 bis 59,7.3
01058113,4,60 bis 74,5.2
01058115,4,60 bis 74,4.0
01058125,3,40 bis 59,4.4
01058128,3,40 bis 59,7.7
01058134,1,unter 18,4.4
01058151,3,40 bis 59,6.0
01058156,3,40 bis 59,8.4
01058159,1,unter 18,2.8
01058161,3,40 bis 59,5.5
01058164,3,40 bis 59,2.7
01058167,2,19 bis 39,1.8
01059045,4,60 bis 74,6.8
01059075,5,75 und älter,2.1
01059113,5,75 und älter,10.0
01059120,5,75 und älter,3.2
01059183,1,unter 18,3.0
01059107,1,unter 18,2.7
01059128,3,40 bis 59,2.9
01059131,1,unter 18,2.0
01059132,1,unter 18,3.6
01059138,5,75 und älter,3.8
01059162,3,40 bis 59,5.3
01059169,1,unter 18,5.3
01059174,1,unter 18,0.9
01059012,5,75 und älter,10.2
01059018,3,40 bis 59,2.6
01059019,3,40 bis 59,2.1
01059026,5,75 und älter,6.0
01059032,3,40 bis 59,5.9
01059043,3,40 bis 59,4.5
01059056,1,unter 18,6.6
01059078,3,40 bis 59,3.4
01059101,3,40 bis 59,6.5
01059103,3,40 bis 59,3.1
01059116,3,40 bis 59,3.4
01059126,3,40 bis 59,2.4
01059127,1,unter 18,1.9
01059141,3,40 bis 59,3.4
01059182,1,unter 18,3.4
01059002,4,60 bis 74,9.5
01059034,4,60 bis 74,8.9
01059067,3,40 bis 59,6.2
01059068,4,60 bis 74,6.3
01059106,4,60 bis 74,6.2
01059118,4,60 bis 74,2.8
01059137,5,75 und älter,5.6
01059145,3,40 bis 59,4.8
01059157,3,40 bis 59,5.3
01059176,3,40 bis 59,4.0
01059178,5,75 und älter,4.4
01059159,1,unter 18,5.8
01059171,5,75 und älter,3.4
01059184,3,40 bis 59,2.1
01059076,3,40 bis 59,3.3
01059161,5,75 und älter,1.9
01059185,1,unter 18,4.3
01059105,1,unter 18,6.7
01059115,1,unter 18,2.0
01059123,3,40 bis 59,2.5
01059129,3,40 bis 59,6.4
01059143,1,unter 18,4.5
01059144,1,unter 18,6.8
01059149,1,unter 18,5.3
01059151,3,40 bis 59,2.1
01059158,1,unter 18,3.0
01059173,3,40 bis 59,1.9
01059177,1,unter 18,3.5
01059179,1,unter 18,3.7
01059006,3,40 bis 59,2.7
01059055,3,40 bis 59,5.4
01059060,4,60 bis 74,2.7
01059063,1,unter 18,2.4
01059072,3,40 bis 59,3.7
01059080,4,60 bis 74,3.2
01059083,5,75 und älter,1.7
01059094,4,60 bis 74,11.1
01059187,4,60 bis 74,7.7
01059008,1,unter 18,2.2
01059037,1,unter 18,7.9
01059042,3,40 bis 59,2.9
01059049,3,40 bis 59,1.8
01059062,4,60 bis 74,3.3
01059073,3,40 bis 59,2.0
01059081,3,40 bis 59,3.5
01059082,3,40 bis 59,2.7
01059084,3,40 bis 59,3.4
01059086,3,40 bis 59,2.5
01059090,3,40 bis 59,2.6
01059093,5,75 und älter,5.9
01059097,1,unter 18,5.9
01059098,3,40 bis 59,3.9
01059189,4,60 bis 74,4.2
01059102,2,19 bis 39,2.9
01059109,1,unter 18,4.0
01059112,4,60 bis 74,8.6
01059121,4,60 bis 74,5.5
01059136,4,60 bis 74,16.9
01059142,4,60 bis 74,13.1
01059148,4,60 bis 74,8.1
01059152,1,unter 18,4.5
01059154,3,40 bis 59,5.5
01059155,4,60 bis 74,6.1
01059163,4,60 bis 74,10.0
01059164,5,75 und älter,7.2
01059167,4,60 bis 74,4.1
01059168,4,60 bis 74,4.8
01059186,4,60 bis 74,4.8
01059010,3,40 bis 59,2.4
01059023,4,60 bis 74,6.7
01059039,5,75 und älter,3.4
01059041,3,40 bis 59,4.8
01059044,1,unter 18,1.6
01059057,3,40 bis 59,2.9
01059077,3,40 bis 59,2.2
01059079,1,unter 18,1.5
01059092,5,75 und älter,2.5
01059001,4,60 bis 74,1.7
01059005,4,60 bis 74,7.3
01059009,3,40 bis 59,2.8
01059020,2,19 bis 39,1.8
01059024,4,60 bis 74,5.1
01059035,2,19 bis 39,1.7
01059050,3,40 bis 59,5.5
01059051,3,40 bis 59,7.3
01059053,4,60 bis 74,2.5
01059058,1,unter 18,2.0
01059087,1,unter 18,3.9
01059088,2,19 bis 39,2.6
01059096,4,60 bis 74,4.2
01059188,4,60 bis 74,4.8
01060004,1,unter 18,1.5
01060005,5,75 und älter,2.2
01060019,3,40 bis 59,3.6
01060039,3,40 bis 59,3.8
01060044,1,unter 18,2.1
01060063,5,75 und älter,2.2
01060092,1,unter 18,1.8
01060003,3,40 bis 59,5.3
01060009,3,40 bis 59,3.1
01060021,3,40 bis 59,5.5
01060023,3,40 bis 59,5.2
01060027,3,40 bis 59,3.1
01060031,2,19 bis 39,1.3
01060033,3,40 bis 59,3.5
01060035,4,60 bis 74,3.2
01060037,3,40 bis 59,6.7
01060040,4,60 bis 74,2.1
01060056,3,40 bis 59,3.6
01060095,3,40 bis 59,3.9
01060099,1,unter 18,2.6
01060012,3,40 bis 59,3.2
01060017,4,60 bis 74,7.2
01060026,3,40 bis 59,4.6
01060072,3,40 bis 59,5.8
01060080,4,60 bis 74,4.6
01060086,3,40 bis 59,8.0
01060087,5,75 und älter,1.7
01060089,1,unter 18,1.5
01060043,3,40 bis 59,4.2
01060046,3,40 bis 59,6.4
01060058,3,40 bis 59,3.2
01060065,1,unter 18,3.6
01060076,3,40 bis 59,7.0
01060085,3,40 bis 59,3.6
01060002,3,40 bis 59,3.2
01060034,3,40 bis 59,2.4
01060036,3,40 bis 59,5.2
01060054,3,40 bis 59,5.8
01060064,3,40 bis 59,4.0
01060073,3,40 bis 59,2.6
01060042,3,40 bis 59,5.3
01060045,4,60 bis 74,2.0
01060047,3,40 bis 59,4.5
01060066,3,40 bis 59,4.2
01060077,3,40 bis 59,5.5
01060082,3,40 bis 59,5.0
01060084,3,40 bis 59,3.3
01060094,3,40 bis 59,3.5
01060100,3,40 bis 59,5.2
01060007,3,40 bis 59,1.4
01060008,5,75 und älter,2.9
01060022,1,unter 18,5.7
01060029,3,40 bis 59,1.4
01060041,3,40 bis 59,8.1
01060051,4,60 bis 74,2.6
01060053,3,40 bis 59,3.4
01060057,3,40 bis 59,3.8
01060062,3,40 bis 59,5.1
01060074,2,19 bis 39,4.7
01060088,3,40 bis 59,3.6
01060101,2,19 bis 39,3.0
01060011,1,unter 18,1.9
01060016,3,40 bis 59,3.2
01060028,3,40 bis 59,3.9
01060038,3,40 bis 59,7.3
01060052,5,75 und älter,1.3
01060068,3,40 bis 59,5.7
01060006,3,40 bis 59,10.1
01060010,3,40 bis 59,5.3
01060015,4,60 bis 74,8.2
01060020,4,60 bis 74,1.8
01060024,1,unter 18,4.2
01060025,3,40 bis 59,3.0
01060030,3,40 bis 59,4.5
01060048,3,40 bis 59,4.6
