PROVINCIA,Classifica finale,Alberi pubb.,Isole pedonali,Solare pubb.,Uso eff. suolo,Verde urbano,Biossido di azoto,Ozono,Pm 10,Consumi idrici,Dispersione idrica,Efficienza depurazione,Offerta TP,Passaggeri TP,Piste ciclabili,Tasso di motorizzazione,Vittime di strada,Rifiuti differenziati,Rifiuti prodotti
Matera,42.17,0,0,4926,2,995062,0,0,0,137943,52668,97931,22064,59525,1734,64941,5423,34.4,438206
Foggia,41.49,14534,108,2023,3,9098,25,0,20,114072,33671,98315,24864,7637,7509,59787,7.1,22,404696
Napoli,40.86,6107,324,0.32,9,11995,27.5,5.5,26.75,156509,30.89,95461,13498,38212,429,58628,3.72,36.21,538062
Caltanissetta,40.44,6419,81,10114,1.5,8326,22.2,1,27.48,109644,35306,79524,6081,6028,918,71462,3534,43854,546311
Monza,40.42,22037,79,449,9.5,58306,45,67.5,32,224609,15.77,100,22266,31127,6157,64356,7082,67.42,416316
Salerno,40.39,14965,0,21,5.5,18737,38.4,0,19.5,0,0,100,14771,33.89,244,59846,5137,60368,468942
Grosseto,37.26,0,0.27,0.6,5.5,33709,21,8,0,136936,47699,91883,14517,15331,16.44,66.28,6726,43821,590507
Siracusa,36.73,8223,48,263,3,8241,20333,0,22,137713,64501,90045,7812,0,2194,70.59,5462,41.94,513746
Ragusa,36.27,7383,534,7789,0.5,23318,0,0,0,95.96,46617,96177,3952,7.36,2149,74065,4545,70032,474.49
Massa,36.21,23133,154,1175,2.5,12516,18,0,19,122373,58492,88966,10,16239,4961,64595,7296,38563,757649
Isernia,35.77,8229,0.23,0,3,4873,17,0,0,102646,64579,93019,14436,15855,3468,79296,3862,52095,434218
Latina,35.04,0,0.55,0.77,7.5,15.87,22,0,22667,131.82,67892,72507,10369,8228,3735,70271,5623,29152,540642
Messina,34.49,5122,265,2138,4.5,15171,27.5,2,22.5,142326,57999,92553,11395,39308,925,64397,4997,23217,495943
Alessandria,33.99,19153,212,68,2.5,23514,26,54,31.5,155867,29.84,76042,16662,7816,0,64853,6558,45725,572.06
Brindisi,30.03,15492,364,0,0,11945,0,0,0,120469,26588,96524,25956,18895,2.19,63554,7394,47.6,0
Catania,29.38,11873,178,2915,5,18324,22.5,25,25,90755,68287,56055,23889,21392,2195,77.52,5722,9089,650743
Palermo,26.6,11221,536,287,8,11743,48333,4.5,29667,111228,38969,61154,15537,40002,1915,61422,3917,19229,593293
