latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
44.19713,22.86746,298.2,0.37,0.58,2024-09-06,0120,N,nominal,2.0NRT,283.84,0.37,N
43.97681,23.06894,299.02,0.39,0.59,2024-09-06,0120,N,nominal,2.0NRT,283.53,0.42,N
43.97278,23.08274,303.29,0.39,0.59,2024-09-06,0120,N,nominal,2.0NRT,283.16,0.33,N
47.17352,7.56213,330.93,0.42,0.38,2024-09-06,0120,N,nominal,2.0NRT,285.81,3.45,N
47.06893,8.26699,318.51,0.4,0.37,2024-09-06,0120,N,nominal,2.0NRT,286.17,1.81,N
43.97665,23.0677,298.58,0.39,0.59,2024-09-06,0120,N,nominal,2.0NRT,282.96,0.45,N
43.9727,23.08153,302.42,0.39,0.59,2024-09-06,0120,N,nominal,2.0NRT,282.91,0.57,N
43.01772,25.82877,298.39,0.55,0.68,2024-09-06,0120,N,nominal,2.0NRT,284.67,0.9,N
43.01354,25.83041,298.66,0.55,0.68,2024-09-06,0120,N,nominal,2.0NRT,284.55,0.51,N
42.71344,24.17273,310.15,0.47,0.64,2024-09-06,0120,N,nominal,2.0NRT,284.51,1.49,N
43.59237,19.675,332.57,0.55,0.51,2024-09-06,0120,N,nominal,2.0NRT,288.63,5.94,N
43.59065,19.68172,324.28,0.55,0.51,2024-09-06,0120,N,nominal,2.0NRT,287.83,5.94,N
43.58331,19.67086,296.55,0.55,0.51,2024-09-06,0120,N,nominal,2.0NRT,286.2,1,N
43.58185,19.67655,296.71,0.55,0.51,2024-09-06,0120,N,nominal,2.0NRT,286.14,1,N
43.57856,19.68939,310.88,0.55,0.51,2024-09-06,0120,N,nominal,2.0NRT,284.84,3.12,N
45.91094,5.82091,297.71,0.46,0.39,2024-09-06,0120,N,nominal,2.0NRT,285.52,0.86,N
45.8066,4.69542,298.7,0.5,0.41,2024-09-06,0120,N,nominal,2.0NRT,280.93,0.76,N
45.80706,4.69579,296.55,0.5,0.41,2024-09-06,0120,N,nominal,2.0NRT,280.78,1,N
42.28148,21.49557,299.61,0.36,0.58,2024-09-06,0120,N,nominal,2.0NRT,284.08,1.22,N
42.28031,21.49972,303.8,0.36,0.58,2024-09-06,0120,N,nominal,2.0NRT,284.6,1.13,N
42.27782,21.4936,299.03,0.36,0.58,2024-09-06,0120,N,nominal,2.0NRT,279.47,2.11,N
42.17946,21.46244,298.6,0.37,0.58,2024-09-06,0120,N,nominal,2.0NRT,278.28,0.54,N
41.88019,21.71104,301.79,0.38,0.59,2024-09-06,0120,N,nominal,2.0NRT,287.39,0.85,N
41.87951,21.70963,298.74,0.38,0.59,2024-09-06,0120,N,nominal,2.0NRT,287.26,0.91,N
41.87842,21.71357,301.2,0.38,0.59,2024-09-06,0120,N,nominal,2.0NRT,287.35,0.65,N
41.95955,21.23065,296.76,0.36,0.57,2024-09-06,0120,N,nominal,2.0NRT,276.45,1.1,N
41.50021,21.61912,301.24,0.39,0.59,2024-09-06,0120,N,nominal,2.0NRT,287.96,0.81,N
41.44713,21.63876,299.97,0.39,0.59,2024-09-06,0120,N,nominal,2.0NRT,287.8,1.08,N
41.81473,20.11326,300.97,0.32,0.55,2024-09-06,0120,N,nominal,2.0NRT,284.37,1.11,N
41.32541,21.62839,367,0.39,0.6,2024-09-06,0120,N,high,2.0NRT,287.45,6.91,N
41.32693,21.62304,317.87,0.39,0.6,2024-09-06,0120,N,nominal,2.0NRT,283.93,6.91,N
41.32394,21.6335,312.57,0.39,0.6,2024-09-06,0120,N,nominal,2.0NRT,285.32,1.28,N
41.32261,21.63819,297.44,0.39,0.6,2024-09-06,0120,N,nominal,2.0NRT,284.76,1.28,N
41.31804,21.63333,299.05,0.39,0.6,2024-09-06,0120,N,nominal,2.0NRT,285.18,1.28,N
41.29493,21.71423,308.63,0.4,0.6,2024-09-06,0120,N,nominal,2.0NRT,284.75,1.21,N
41.33135,21.62609,299.33,0.39,0.6,2024-09-06,0120,N,nominal,2.0NRT,284.42,4.57,N
41.3261,21.62363,326.86,0.39,0.6,2024-09-06,0120,N,nominal,2.0NRT,284.3,4.57,N
41.32456,21.62916,356.68,0.39,0.6,2024-09-06,0120,N,nominal,2.0NRT,286.93,4.57,N
41.32316,21.6342,315.25,0.39,0.6,2024-09-06,0120,N,nominal,2.0NRT,285.3,3.31,N
41.29464,21.71505,308.25,0.4,0.6,2024-09-06,0120,N,nominal,2.0NRT,285.09,1.61,N
41.31482,21.62155,298.67,0.39,0.6,2024-09-06,0120,N,nominal,2.0NRT,284.35,0.74,N
41.3115,21.59093,299.43,0.39,0.59,2024-09-06,0120,N,nominal,2.0NRT,285.76,0.6,N
41.30602,21.58934,296.32,0.39,0.59,2024-09-06,0120,N,nominal,2.0NRT,285.08,0.71,N
41.30487,21.59344,299,0.39,0.6,2024-09-06,0120,N,nominal,2.0NRT,285.2,0.71,N
41.30387,21.59702,308.08,0.39,0.6,2024-09-06,0120,N,nominal,2.0NRT,287.46,1.69,N
41.27608,21.59025,297.83,0.39,0.6,2024-09-06,0120,N,nominal,2.0NRT,285.34,0.76,N
41.27511,21.5937,297.45,0.39,0.6,2024-09-06,0120,N,nominal,2.0NRT,285.03,0.64,N
41.27089,21.58763,311.06,0.39,0.6,2024-09-06,0120,N,nominal,2.0NRT,285.34,1.44,N
41.20982,21.67688,297.46,0.4,0.6,2024-09-06,0120,N,nominal,2.0NRT,284.23,0.44,N
41.2117,21.62835,303.9,0.4,0.6,2024-09-06,0120,N,nominal,2.0NRT,285.19,1.13,N
41.21276,21.62674,298.07,0.4,0.6,2024-09-06,0120,N,nominal,2.0NRT,285.68,0.51,N
41.21083,21.63368,295.6,0.4,0.6,2024-09-06,0120,N,nominal,2.0NRT,285,0.51,N
43.44713,4.89497,321.51,0.46,0.39,2024-09-06,0120,N,nominal,2.0NRT,262.41,1.44,N
43.44351,4.89416,298.99,0.46,0.39,2024-09-06,0120,N,nominal,2.0NRT,266.39,1.44,N
43.44284,4.8999,302.2,0.46,0.39,2024-09-06,0120,N,nominal,2.0NRT,264.81,0.83,N
43.4399,4.89335,316.14,0.46,0.39,2024-09-06,0120,N,nominal,2.0NRT,268.74,1.21,N
43.43694,4.88679,299.21,0.46,0.39,2024-09-06,0120,N,nominal,2.0NRT,268.6,1.21,N
43.43628,4.89254,295.01,0.46,0.39,2024-09-06,0120,N,nominal,2.0NRT,268.46,1.21,N
